sitename,sitename_short,smurf_site,include,associated_mpa,MPA_STATUS,start year,end year,day,method,LAT_WGS84,LON_WGS84
ANACAPA_ADMIRALS_CEN,ANACAPA_ADMIRALS,ANA-SOUTH,1,Anacapa Island SMCA,reference,1999,2009,,SBTL_FISH,34.002883,-119.4252
ANACAPA_ADMIRALS_E,ANACAPA_ADMIRALS,ANA-SOUTH,1,Anacapa Island SMCA,reference,1999,2009,,SBTL_FISH,34.003433,-119.418
ANACAPA_ADMIRALS_W,ANACAPA_ADMIRALS,ANA-SOUTH,1,Anacapa Island SMCA,reference,2005,2009,,SBTL_FISH,34.00775,-119.434383
ANACAPA_BLACK_SEA_BASS_CEN,ANACAPA_BLACK_SEA_BASS,ANA-WIN,0,Anacapa Island SMR,SMR,2006,2012,,SBTL_FISH,34.0126,-119.389183
ANACAPA_EAST_FISH_CAMP_CEN,ANACAPA_EAST_FISH_CAMP,ANA-SOUTH,1,Anacapa Island SMCA,reference,2005,2009,,SBTL_FISH,34.001583,-119.398067
ANACAPA_EAST_FISH_CAMP_E,ANACAPA_EAST_FISH_CAMP,ANA-SOUTH,1,Anacapa Island SMR,reference,2005,2009,,SBTL_FISH,34.0045,-119.385783
ANACAPA_EAST_FISH_CAMP_W,ANACAPA_EAST_FISH_CAMP,ANA-SOUTH,1,Anacapa Island SMR,reference,2005,2009,,SBTL_FISH,34.003083,-119.404167
ANACAPA_EAST_ISLE_CEN,ANACAPA_EAST_ISLE,ANA-WIN,1,Anacapa Island SMR,SMR,1999,2012,,SBTL_FISH,34.017667,-119.363683
ANACAPA_EAST_ISLE_E,ANACAPA_EAST_ISLE,ANA-WIN,1,Anacapa Island SMR,SMR,1999,2012,,SBTL_FISH,34.017033,-119.361133
ANACAPA_EAST_ISLE_W,ANACAPA_EAST_ISLE,ANA-WIN,1,Anacapa Island SMR,SMR,1999,2012,,SBTL_FISH,34.015867,-119.371733
ANACAPA_LIGHTHOUSE_REEF_CEN,ANACAPA_LIGHTHOUSE_REEF,ANA-SOUTH,1,Anacapa Island SMR,reference,2004,2012,,SBTL_FISH,34.012783,-119.363133
ANACAPA_LIGHTHOUSE_REEF_E,ANACAPA_LIGHTHOUSE_REEF,ANA-SOUTH,1,Anacapa Island SMR,reference,2004,2012,,SBTL_FISH,34.0139,-119.36
ANACAPA_LIGHTHOUSE_REEF_W,ANACAPA_LIGHTHOUSE_REEF,ANA-SOUTH,1,Anacapa Island SMR,reference,2005,2012,,SBTL_FISH,34.010783,-119.3725
ANACAPA_MIDDLE_ISLE_CEN,ANACAPA_MIDDLE_ISLE,ANA-WIN,1,Anacapa Island SMR,SMR,2000,2012,,SBTL_FISH,34.009883,-119.388333
ANACAPA_MIDDLE_ISLE_E,ANACAPA_MIDDLE_ISLE,ANA-WIN,1,Anacapa Island SMR,SMR,2000,2012,,SBTL_FISH,34.0085,-119.388167
ANACAPA_MIDDLE_ISLE_W,ANACAPA_MIDDLE_ISLE,ANA-WIN,1,Anacapa Island SMR,SMR,2001,2012,,SBTL_FISH,34.007833,-119.394467
